Question,Answer
What is a top-up loan?,A top-up loan is an additional loan on top of your existing home loan. It's useful for renovation or emergencies and comes at a similar low interest rate.
What is a loan against property?,You mortgage your residential or commercial property to the bank and get a large loan. The property is returned to you once the loan is repaid.
What is a loan against FD?,You can borrow up to 90% of your FD value by pledging it as collateral. The interest rate is usually 1–2% above the FD rate.
What is a moratorium period?,"A moratorium is a temporary pause on loan repayment allowed by the bank. During this time, EMIs are paused but interest keeps accumulating."
What is an amortisation schedule?,"An amortisation schedule is a table showing how each EMI is split between principal and interest, and the outstanding balance after each payment."
What is the impact of credit score on loan?,"A higher credit score helps you get a loan approved faster, at a lower interest rate, and with better repayment terms. A low score may result in rejection."
What is a loan EMI calculator?,"An EMI calculator is an online tool where you enter loan amount, interest rate, and tenure to instantly calculate your monthly payment."
What is floating rate of interest?,A floating rate changes with market conditions (like MCLR or repo rate). Your EMI or tenure can change when interest rates go up or down.
What is a fixed rate of interest?,"A fixed interest rate stays the same throughout the loan tenure, making your EMI predictable and unaffected by market fluctuations."
What is a loan restructuring?,Loan restructuring is when the bank changes the terms of your loan — like extending tenure or reducing interest rate — to help you if you're struggling to repay.
What is a Kisan Credit Card?,"Kisan Credit Card is a scheme giving farmers easy access to affordable short-term credit for cultivation, post-harvest needs, and maintenance of farm assets."
What is a MUDRA loan?,"MUDRA loans under Pradhan Mantri MUDRA Yojana give loans up to ₹10 lakh to small businesses without collateral. Categories: Shishu, Kishor, and Tarun."
What is a microfinance loan?,Microfinance loans are tiny loans given to low-income individuals or groups (especially women in rural areas) who can't access regular bank credit.
What is a Subvention scheme on home loan?,"Under a subvention scheme, the builder pays the home loan interest during construction. The buyer starts paying EMI only after possession."
What is a home loan balance transfer?,Transferring your home loan to another bank offering a lower interest rate is called a balance transfer. It can save you a significant amount over the loan tenure.
What is loan processing fee?,A processing fee is a one-time charge by the bank for evaluating and approving your loan application. It's usually 0.5–2% of the loan amount.
What is a guarantor?,A guarantor is a person who promises to repay the loan if the primary borrower fails to do so. Banks sometimes require a guarantor for unsecured or large loans.
What is credit utilisation ratio?,It's the percentage of your credit card or loan limit that you're currently using. Keeping it below 30% helps maintain a healthy credit score.
What is a loan default notice?,"If you miss several EMIs, the bank sends a legal notice warning you to clear dues. Ignoring it can lead to recovery action or asset seizure."
